attack_id,features
405,"central_attack,fast_break"
406,"inside_box_shot,central_attack,goal"
407,"inside_box_shot,central_attack,goal"
408,"inside_box_shot,central_attack,goal"
409,"central_attack,fast_break"
410,"central_attack,goal"
411,"central_attack,fast_break"
412,"central_attack,goal"
413,"inside_box_shot,central_attack,goal"
414,"inside_box_shot,central_attack,goal"
415,"central_attack,goal"
416,"central_attack,goal"
417,"central_attack,through_ball"
418,"central_attack,through_ball"
419,"through_ball,central_attack"
420,"central_attack,through_ball"
421,"inside_box_shot,central_attack,through_ball,goal"
422,"central_attack,through_ball"
423,"central_attack,through_ball"
424,"central_attack,through_ball"
425,"central_attack,through_ball"
426,"central_attack,through_ball"
427,"central_attack,through_ball"
428,"central_attack,through_ball"
429,"central_attack,through_ball"
430,"central_attack,through_ball"
431,"central_attack,through_ball"
432,"central_attack,through_ball"
433,"central_attack,through_ball"
434,"central_attack,through_ball,goal"
435,"central_attack,through_ball"
436,"central_attack,through_ball"
437,"central_attack,through_ball"
438,"inside_box_shot,central_attack,through_ball,goal"
439,"central_attack,through_ball"
440,"central_attack,through_ball"
441,"central_attack,through_ball,fast_break"
442,"central_attack,through_ball"
443,"central_attack,through_ball"
444,"central_attack,through_ball"
445,"through_ball,central_attack"
446,"central_attack,through_ball"
447,"inside_box_shot,central_attack,through_ball,goal"
448,"central_attack,through_ball,goal"
449,"central_attack,through_ball"
450,"central_attack,through_ball"
451,"central_attack,through_ball"
452,"central_attack,through_ball"
453,"central_attack,through_ball"
454,"central_attack,through_ball"
455,"central_attack,through_ball"
456,"central_attack,through_ball"
457,"inside_box_shot,central_attack,through_ball,goal"
458,"central_attack,through_ball"
459,"central_attack,through_ball"
460,"central_attack,through_ball"
461,"central_attack,goal"
462,"central_attack,through_ball"
463,"through_ball,fast_break"
464,"central_attack,through_ball"
465,"inside_box_shot,central_attack,through_ball,goal"
466,"central_attack,through_ball"
467,"through_ball,fast_break"
468,"central_attack,through_ball"
469,"central_attack,through_ball"
