attack_id,features
361,"central_attack,fast_break"
362,"inside_box_shot,central_attack,through_ball,goal"
363,"central_attack,through_ball,goal"
364,"central_attack,through_ball,goal"
365,"central_attack,through_ball"
366,"central_attack,through_ball"
367,"central_attack,through_ball,goal"
368,"central_attack,through_ball"
369,"inside_box_shot,central_attack,through_ball,goal"
370,"inside_box_shot,central_attack,through_ball,goal"
371,"central_attack,through_ball"
372,"central_attack,through_ball,fast_break"
373,"inside_box_shot,through_ball,central_attack,goal"
374,"central_attack,through_ball,goal"
375,"central_attack,through_ball"
376,"central_attack,through_ball,goal"
377,"central_attack,through_ball"
378,"central_attack,through_ball,goal"
379,"through_ball,central_attack"
380,"central_attack,through_ball"
381,"central_attack,through_ball,goal"
382,"central_attack,fast_break"
383,"inside_box_shot,central_attack,through_ball,goal"
384,"central_attack,through_ball,fast_break"
385,"through_ball,fast_break"
386,"through_ball,central_attack,fast_break"
387,"inside_box_shot,central_attack,goal"
388,"inside_box_shot,central_attack,goal"
389,"central_attack,fast_break"
390,"central_attack,goal"
391,"central_attack,fast_break"
392,"central_attack,fast_break"
393,"central_attack,fast_break"
394,"inside_box_shot,central_attack,fast_break,goal"
395,"central_attack,fast_break,goal"
396,"central_attack,fast_break"
397,"central_attack,fast_break"
398,"central_attack,fast_break"
399,"central_attack,fast_break"
400,"central_attack,goal"
401,"inside_box_shot,central_attack,goal"
402,"central_attack,goal"
403,"central_attack,fast_break"
404,"central_attack,fast_break"
405,"central_attack,fast_break,goal"
406,"central_attack,fast_break"
407,"inside_box_shot,central_attack,goal"
408,"inside_box_shot,central_attack,goal"
409,"central_attack,through_ball"
410,"through_ball,central_attack"
411,"central_attack,through_ball"
412,"inside_box_shot,through_ball,central_attack,goal"
413,"central_attack,through_ball,goal"
414,"through_ball,fast_break"
415,"inside_box_shot,central_attack,through_ball,goal"
416,"central_attack,through_ball"
417,"central_attack,through_ball"
418,"inside_box_shot,through_ball,central_attack,goal"
419,"central_attack,through_ball"
420,"central_attack,through_ball"
421,"central_attack,through_ball"
422,"central_attack,through_ball,inside_box_shot,fast_break,goal"
423,"central_attack,through_ball"
424,"central_attack,through_ball"
425,"central_attack,through_ball,fast_break"
426,"central_attack,through_ball"
427,"central_attack,through_ball,fast_break"
428,"central_attack,through_ball,fast_break"
429,"central_attack,through_ball"
430,"central_attack,through_ball"
431,"through_ball,central_attack"
432,"central_attack,through_ball"
433,"central_attack,through_ball,fast_break"
434,"inside_box_shot,central_attack,through_ball,goal"
435,"through_ball,central_attack"
436,"inside_box_shot,central_attack,through_ball,goal"
437,"central_attack,through_ball"
438,"central_attack,through_ball"
439,"through_ball,central_attack"
440,"central_attack,through_ball"
441,"central_attack,through_ball"
442,"central_attack,through_ball"
443,"inside_box_shot,central_attack,through_ball,goal"
444,"central_attack,through_ball"
445,"central_attack,through_ball"
446,"central_attack,through_ball,fast_break"
447,"central_attack,through_ball"
448,"central_attack,fast_break,goal"
449,"central_attack,through_ball"
450,"central_attack,through_ball,inside_box_shot,fast_break,goal"
451,"central_attack,through_ball,fast_break"
452,"central_attack,fast_break"
453,"central_attack,through_ball,fast_break"
454,"central_attack,through_ball,goal"
455,"central_attack,through_ball,fast_break"
456,"central_attack,through_ball"
457,"central_attack,through_ball"
458,"central_attack,through_ball"
459,"central_attack,through_ball,fast_break"
460,"central_attack,through_ball"
461,"central_attack,through_ball"
462,"through_ball,central_attack"
463,"central_attack,through_ball"
464,"central_attack,through_ball"
465,"inside_box_shot,central_attack,through_ball,goal"
466,"central_attack,fast_break"
467,"central_attack,through_ball"
468,"central_attack,through_ball"
469,"central_attack,through_ball"
470,"central_attack,through_ball"
471,"central_attack,through_ball"
472,"central_attack,goal"
473,"central_attack,through_ball"
474,"central_attack,through_ball"
475,"central_attack,through_ball"
476,"central_attack,fast_break"
477,"through_ball,central_attack"
478,"central_attack,through_ball"
479,"through_ball,central_attack"
480,"inside_box_shot,central_attack,through_ball,goal"
481,"central_attack,through_ball,inside_box_shot,fast_break,goal"
482,"central_attack,through_ball"
483,"inside_box_shot,central_attack,through_ball,goal"
484,"central_attack,through_ball"
485,"central_attack,through_ball"
